text,target
"Я періодично замовляю на ""Розетці"", хороший асортимент і ціни. У ""Розетки"" всі шанси стати онлайн гіпермаркетом, за асортиментом вже так і є. Але, серйозні проблеми з логістикою. Попереднє замовлення мені порахували доставку 120 (замовлення один, з одного складу). Потім після з'ясувань скинули до 60 гривень, а потім через затримку відправки і відсутності позицій запропонували безкоштовну доставку. Через 17 днів я таки отримав посилку. Ну да ладно.
Тепер в ""Розетці"" акція і до 16 травня безкоштовна доставка від 500 грн. Відмінно, як раз збирався замовляти. Зібрав замовлення на суму понад 1000 грн, витратив час на вибір і перейшов до оформлення. І там мені показало, що вартість доставки 260 грн. Якось сенсу переплачувати стільки я не побачив. Вся справа в дробленні замовлення на 4 замість одного. Я так розумію, намагаються прискорити логістику, але якою ціною? Навіщо комусь платити 260 грн за доставку? Ніяке зручність і асортимент не перекриє цього недоліку. Щоб отримати обіцяну безкоштовну доставку потрібно було всього лише замовити товару від 500 грн на кожному складі. За фактом безкоштовна доставка для мене б почалася з суми 2000 грн, але не 500.
Ок. Але як я повинен дізнаватися який товар і на якому складі? Порошок пральний пішов в замовлення до котячого корму і чаю, а миючий засіб потрапив в інше замовлення. Так і інші товари виявилися в інших замовленнях. Довелося прибирати більшість позицій і додати товару тільки в одному складі на 500 грн. Безліч необхідного в підсумку купити не вийшло. Навіть не через безкоштовної доставки, просто немає сенсу платити стільки за логістику.
""Розетка"" потрібно терміново вирішувати це питання, позначити товари якось, щоб було зрозуміло що і до якого складу відноситься. Тому що сайт ""Розетка» не єдиний виходить, розбийте його на 4-5 або скільки там розділів в залежності від складу. Чому я повинен витрачати час і дізнаватися як йдуть справи з логістикою тільки на етапі оформлення. Зауважу, що вибирав товари тільки від продавця ""розетка"".
Сюди ж додам обман з проведенням конкурсу. https://rozetka.com.ua/news-articles-promotions/promotions/238983.html 30 квітня мали оголосити переможців. Вже 5 травня і нічого, хоча я сподівався взяти участь, умови виконав.
Логістика при великих замовленнях вбиває всі переваги. Постарайтеся щось придумати, альтернатив ""Розетка"" за зручністю і асортименту немає.
                        Розгорнутим
                        згорнути",negative
"І ось знову хочу поділитися, на жаль, не хорошим відкликанням про інтернет-магазині Розетка.
Чоловіком був куплений, мені на подарунок, півтора місяці тому Apple iPhone 8 Plus 256GB, і через 4 тижні, після оновлення, в ньому перестала працювати батарея, хоч і цей факт дуже засмутив, але все ж таке трапляється, ми звичайно ж відразу звернулися до продавцю - магазину Розетка, так як купували виходячи з довіри саме до них, але нас направили з цією проблемою до стороннього магазину (нібито постачальнику), співробітник якого не особливо був налаштований вести діалог, після тижневих дзвінків він все ж вийшов на зв'язок і направив нас на діагностику в СЦ, а потім сказав, що пок Патель сам винен, вбив телефон і просить від нього якогось гарантійного ремонту, після чого почав вимагати оплатити ремонт нового телефону, хоча в розмові з СЦ було встановлено, що ремонт можна віднести до гарантійного, так як не зрозуміло що посприяло тому, що батарея перестала працювати, але письмового висновку немає, і продавець все спростовує, причому в грубій формі! Хочеться запитати саме Розетці, як вони дозволяють таке хамське поводження до своїх покупців, чому знімають з себе відповідальність за придбаний у них товар, чому покупець вирішує питання з постачальниками безпосередньо, жоден поважаючий себе продавець такого не допустить, в кінці кінців це Ваша репутація , у мене є запис розмов, могла б надати, але ... нікому, після довгих розмов стало зрозуміло, що співробітникам це все байдуже, і розбиратися зі своїми не сумлінними постачальниками вони не збираються, а навпаки і прикривають, і не дають їх реквізити, щоб можна було звернутися до відповідних органів! Прошу всіх 100 раз подумати перш ніж зробити покупку на Розетці, та й відгуків про їх діяльності, як я тепер бачу, все більше і більше негативних. Мій же відгук, вони до своєї радості, у себе на сайті просто видалили, ось так зараз вирішуються питання!
                        Розгорнутим
                        згорнути",negative
"Замовив товар, привезли битий, доставка тільки до під&#39;їзду, кур&#39;єр не відкривав і не перевіряв цілісність. За фактом вже в квартирі побачив шлюб, так само не поставили в гарантійному талоні друк. Для вирішення питання про повернення, необхідно самостійно відвозити в сервісний центр, в якому працює НЕ приємна молода особа, після повернення товару і в разі позитивного рішення про його повернення на склад, необхідно їхати в магазин за грошима. Підсумок: доставка платна, до під&#39;їзду, кур&#39;єри роботу роблять НЕ якісно, купа витраченого часу на поїздки в сервісний центр і магазин за грошима. НЕ рекомендую даний магазин і сам з ними більше не буду зв&#39;язуватися. Розгорнутим згорнути",negative
"Зробила покупку епілятора. Спробувала буквально пару сек. в роботі (фактично не використала) і зрозуміла, що він мені не підходить. Хочу зробити повернення, навіть оформила заявку ... але ось начиталася негативних відгуків про те як відправляють товар на повернення в нормальному стані, а магазин пред'являє потім претензії з приводу подряпин, несправностей, вологи і т.п. і тепер як то страшнувато .. Не хочеться такого досвіду ... Сума то не маленька. Думаю зняти на відео, на всякий випадок, що все ок? ... Коротше, кошмар какой-то. Хотіла проконсультуватися з представниками магазину. Відправила заявку на зворотний зв'язок - ніхто не передзвонює. Надіслали листа, щоб я подзвонила НА міський стаціонарний номер ... або в листі пояснила в чому справа. Пояснила. Знову глухо ... Боюся, ""чудеса"" начинаються?
Раніше все було в порядку - тому поки ставлю ""рекомендую"", але по завершенні всієї цієї історії оновлю відгук, сподіваюся в ту ж - позитивну сторону.
                        Розгорнутим
                        згорнути",positive
"Спробував купити смартфон в Stylus. Є послуга &quot;експрес-доставки&quot;. - можете? - куди? - центр міста, 4 км від магазину Stylus. - ні, не можемо. Завтра? - ОК завтра. - Готово! доставка 50 грн. - так безкоштовна ж ?! - а, ну да ... ладно, безкоштовна. Буде з 13 до 17. Настає &quot;завтра&quot;. О 16:26 смс: &quot;привеземо завтра з 13 до 17&quot;. - Стилус, це як так? - так, все правильно - завтра буде. - так сьогодні ж має бути! - немає. на завтра варто. - ви серйозно?! - ем ... я уточню і передзвоню ... через 30 хвилин ... - Ви обіцяли дізнатися і передзвонити. - да, буде завтра з 17 до 20, на завтра стоїть в маршрутному листі. - ясно. якщо все так туго, я можу САМ ПРИЇХАТИ до вас КУДА УГОДНО і забрати, але сьогодні ?! - я уточню і передзвоню. ще через 20 хвилин. - це Стилус, приносимо вибачення: збій в системі - завтра привеземо. - ок, я можу сам приїхати і забрати ?! - уточнимо ... - так уже ж йшли дізнаватися! .. - ем ... ні, не можна! переплутали замовлення, збій в системі, немає ніде товару в доступі. не можна, в загальному ... ну, якщо що, ми вам знижку зробимо на наступну покупку у нас ... - спасибі. * Ось це вже навряд чи! .. * To be continued ... Розгорнутим згорнути",negative
"Купував для будинку, саду, ремонту стремянку  Itoss Hobby 3918 на 8 сходинок за 1000 грн. У всых будівельних супермаркетах мого міста аналогічна річ коштувувала дешевше. Мені дуже сподобалась якість - вона зроблена ""на роки"".  
Я задоволений сервісом обслуговування магазину - після замовлення зв'язалися по телефону протягом години. Товар приїхав через пару днів у центр видачі - Точка. Ціла, справна, все гаразд. Користуюся нею постійно - у приватному будинку це не замінна річ. Дякую Розетці за асортимент та можливість знайти альтернативу офлайн-магазину з його націнками.
                        розгорнути
                        згорнути ",positive
"Покупка пройшла успішно, а ось доставка провалилась.
Вивіз був по Київській області, тож домовились на день коли мені буде зручно приїхати за Київ. Сказалищ о зранку подзвонять для підтвердження доставки. Подзвонили коли був в метро, не почув дзвінка. За 2 хв передзвонив - виявилось що це в одну сторону лінія. Подзвонив в сервісний центр - сказали що вивіз скасовано бо я з першого разу не підняв телефон. Спитав чи можна відновити сьогодні вивіз - сказали що це не реально бо обслуговування Київської області в інший день. Нестиковку з поперднім замовленням проігнорували. 
 Стерпів. Переніс на другий день. Поїхав за Київ зранку. Приїхав .сиджу чекаю дзвінка, адже обіцяли з 11 до 19 доставити. В обід перенабираю, уточнюю коли можна очікувати дзвінка від кур'єра - а виявляєтсья його не буде, бо товар чомусь не забрали сьогодін зі складу. І на наступний день не зможуть привезти бо така в якась така них система, і треба зачекати ще день.
 еренесли замовлення ще раз. Сказали що сього разу все буде добре. Дзвоню заздалегіть. Підтверджують що товар забрали зі складу, очікуйте на дзвінок за годину до привезення.
Чекав з 11 до 18. Звісно ж нічого не було. разів 8 набирав сервісний центр. Відповідали що з кур'єром на пряму звязати мене не можуть, а самі тілкьи в електронному режимі переписки з ним. І всі оператори казали, що просять про терміновий дзвінок мені, проте ніхто так і не набрав.
 Настілкьи безвідповідального ставлення та халатності я не очікував. Ще година дзвінків в сервісний центр не дала жоднийх результатів.
 З обіцяних 11-19 годинидоставки кур'єр передзвонив вже в 20.10 і таки приїхав. приїхав, але не вчасно, з купою зіпсутих нервів та телефонних дзвінків.
 Не солідно для такого магазину так поступати з клієнтами. Товар оплачений півтори тижнів, а возять його як хочуть.
 Тричі подумайте перед тим як купувати. Адже таке ставлення може вам зіпсувати покупку.
                        розгорнути
                        згорнути ",negative
"При спілкуванні з менеджером, уточнював чи йде в комплекті шнур зарядного, отримав позитивну відповідь, при доставці виявилося що шнура в комплекті нет.Связался з менеджером, попросив вирішити питання до кінця дня, мені запропонували самостійно під&#39;їхати і повернути товар, пояснив що замовляв кур&#39;єра саме тому-що кататися до місць видачі не маю бажання, в результаті мені дзвонили кілька різних менеджерів і сказали що на наступний день вони розберуться з сітуаціей.Набралі після 12, сказав що шнур купив і продовжувати діалог сенсу немає. Попросили залишити відгук. До дівчаткам-менеджерам претензій немає. Це був 2й і останній раз, коли я щось придбав в цьому магазині. Розгорнутим згорнути",negative
"Обурило видалення мого коментаря про товар по причині ""К сожалению, мы вынуждены скрыть ваш отзыв по причине: мы уже занимаемся решением вашей проблемы или она уже решена"". А проблему мою ніхто так і не вирішив! От і сам видалений з сайту Розетки відгук який я залишив для людей які збірались купляти даний товар:
""""""ДУЖЕ ПОГАНА ГУМА!!!! Прийшов велосипед з потрісканими шинами (одразу не звернув увагу),виявилось все коли задня покришка на третій день вистрелила і порвався корд, десь см. 10 утворилася діра (колесо не було перекачане) їхала дружина (вагою 55кг) по рівнесенькому асфальті, всяке було за життя, стріляли колеса і не раз але вони були або старі (мали ""грижу""), або від наїзду на щось. Після цього інциденту звернув увагу що на передній гумі є також досить великі тріщини. Прийшлося купувати нову покришку та камеру(((""""""
                        розгорнути
                        згорнути ",negative
"Замовлення йшов 2 дня і прийшов в п&#39;ятницю, не того кольору, хоча я явно вказав який колір мені потрібен, кухоль виходило забрати в суботу, виявилося не того кольору. Сказали, що зі мною зв&#39;яжеться асистент що б поміняти, але асистент подзвонив аж в понеділок в обід. В результаті кухоль забрав не того кольору в понеділок, до відділу видачі довелося їхати двічі, так як мені потрібна була на подарунок на вівторок, а з такою довгою заміною я б її отримав в кращому випадку аж в середу ввечері. В результаті витрачено купа часу, доставка огидна. Можливо якби зробили перезаказа іншого кольору в суботу, вона б доїхала в понеділок до вечора, але немає. Розгорнутим згорнути",negative
"Персонал магазину не був знайомий з процесом видачі товару оплаченого через Hotline Checkout. Мені довелося чекати більше 20 хвилин в магазині, поки продавці зв&#39;язалися по месенджер з координатором, той провів їм тренінг з видачі товарів з оплатою на Hotline, в процесі я отримував ремарки типу &quot;простіше вам купити за готівку&quot; (хоча я оплатив товар більше тижня тому картою через Hotline Checkout), але в підсумку моя взяла і я зміг отримати товар за який заплатив, вони розібралися з процедурою. Купівля товару через Hotline Checkout через інші магазини (купував 3 рази, не буду указвивать де інакше буде реклама) ніколи не приводила до подібних проблем. Розгорнутим згорнути",positive
"Добрий вечір! Вирішити питання з поверненням товару, замовлення № 355178902 який був оплачений картою відразу в повному обсязі (: 1399 грн), з Rozetka.ua, полюбовно не увінчалися успіхом, тому ділюся своїм розчаруванням від покупки і від Розетки в цілому. Товар був від продавця з назвою ""Yoki market"". Замовили подарунок дитині на ДР 04.01.20, ""Машинка перевертень трансформер всюдихід 4х4 Leopard King Original New"", день Народження у дитини 9.01.20, посилка прийшла 16.01.20 (від замовлення до прибуття посилки пройшло 12 днів). Машинка прийшла іншого кольору і іншого розміру. На неодноразові дзвінки на гарячу лінію Розетки, відповідь була, що з нами зв'яжеться продавець (навіщо Розетка робить примітка * при суперечці питаннях з продавцями, телефонуйте нам, ми допоможемо * не зрозуміло). Продавець таки зв'язався, ми йому озвучили, що відповідно до закону ПЗП 9 ст. хочемо, щоб нам повернули гроші, тому що товар не підійшов за кольором, розміром і не актуальний за термінами на подарунок. Продавець сказав, що зв'яжеться для вирішення питання протягом дня, але так і не передзвонив. Видаткової накладної (чека) з товаром не виявилося. Зателефонували за номером, що був зазначений в ТТН з боку відправлення, з питанням - ""Чому машинка менше зазначених розмірів і яка її вартість?"". Там повідомили що вартість машинки 750 грн і що він продавець з іншого сайту і подробиць не знає. Робіть висновки самі !!! Заплатили як за оригінал, прислали копію, гроші повертати не хочуть.
                        Розгорнутим
                        згорнути",negative
"По початку не складалося. Зробив замовлення через корзину і прийшов лист з номером замовлення та повідомленням, що менеджер скоро зв&#39;яжеться зі мною. Ніхто не зв&#39;язався і я звичайно ж подзвонив на колл-центр. Пограла якась музика, потім різко обірвалося. Вирішив тоді написати лист на пошту, вказану в листі. Там теж відповіді не було, а телефон потрібен був саме сьогодні. Написав ще пару листів, пізніше отримав відповіді і через пару годин мене таки набрали. На цьому негатив закінчився. Замовлення прийняв приємний оператор, ввічливий і конструктивний. Кур&#39;єр теж виявився ввічливим і головне мобільним - доставив товар навіть раніше ніж я припускав. Це порадувало, за це спасибі. В цілому магазин сподобався. Ціни дуже навіть лояльні. Сайт зручний. І головне товар вже у мене. Ще раз спасибі, виручили. Розгорнутим згорнути",positive
"Будьте готові до комисси за оплату карткою в 1100 грн, хоч так все одно дешевше, але неприємний факт. Оплатити карткою в магазині не можна. Відразу винесли ноут відверто б.у. У відкритій коробці, Захисна упаковка на ноут затерта і подряпана, видно що не перший раз відкривали. Захисних плівок на аксесуарах не було, блок живлення весь в подряпинах. Продавець одразу почав розповідати що це останній, давайте оформляти повернення. Коли продавець дізнався що оплата картою відразу знайшов інший ноут. Коробка теж була відкрита, але хоча б все плівки були на місці, подряпин не було, виглядав як новий. Якщо принципово заощадити пару тис. Грн - тоді ок. Якщо немає йдіть в перевірений магазин. Розгорнутим згорнути",negative
"Це моя друга покупка від цього інтернет магазину, а до цього було з десяток в локальному представництві. На рахунок покупки, - передзвонили, підтвердили замолення, узгодили дату отримання товару і вже на наступний день телефонують, що жодного пункту з замовлення нема на складі, при цьому, що на момент написання цього коментаря і від сьогоднішнього дзвінка менеджера вже пройшло декілька годин, а товар досі числиться, як наявний і готовий до замовлення на сайті. Шановні представники магазину ""MOYO"", скільки б рідбрендів ви не робили своїх рітейлів, а починати треба з сервісу підтримки свої покупців. Як і десятки інших покупців - я рідко пишу відгуки і не тримаю за це ""непорозуміння"" злоби. Є , як є,  але я хочу застерегти інших, кому важливий їхній час та гроші. На жаль, я не рекомендую робити покупки в цьому інтернет-магазині.
                        розгорнути
                        згорнути ",negative
"Добрий день. Як це не дивно звучить, читаючи відгуки покупців Розетки, але я магазином задоволений. Замовив ввечері 5 товарів в понеділок (26.12.2016), отримав на НП в п'ятницю, і це враховуючи ажіотаж перед новим роком. Швидше за мої претензії до НП, за дві доби доставки з Києва до Житомира (130км). І до цього робив покупки в Розетці, претензій не було. З приводу акцій? Ну не знаю. У мене в замовленні з планшетом повинен був бути по акції стартовий пакет Київстару - він і був, в замовлення без попередження поклали подарунок - мережевий usb адаптер, якість супер, працює. Доставку товару оплатила Розетка: прийшов на НП, сказали суму для оплати, запитав за доставку післяплатою, відповіли що вже все оплачено. Був украй здивований, тому що заплатив тільки за товар. Єдиний мінус магазину: необхідно біля кожної товарної позиції, вказати номер складу Розетки, щоб покупець мав можливість відразу дізнатися, скільки заплатить за доставку (кількість замовлених товарів з різних складів магазину = кількості посилок = кількості оплачених покупцем доставок). На даний момент інформація доступна тільки при оформленні замовлення, перед самим натисканням кнопки ""підтвердити"".
Висловлюю подяку Розетці за хорошу якість товару, своєчасну доставку і вище описані бонуси.
                        Розгорнутим
                        згорнути",positive
"Замовила через сайт.Ніхто не уточнив, коли буде доставка.Сама дзвонила і питала,коли буде замовлення. Відправили через три дні після замовлення. Я з маленькою дитиною вже третій тиждень знаходжуся у відділенні стаціонару. 27.01.18 замовлення забрала з пошти. Але там не було товарного чеку, лише книжечка на обігрівач, де в кінці є гарантійний талон з серією обігрівача. Товар має мати 2 роки гарантії. Написала в та магазин, сказали на пошту вислати копію гарантійного талону та номер замовлення. Я з дитиною ще досі в лікарні . Обігрівач далеко від мене і нема кому подивитися на ту гарантію. Обігрівач забрала через те, що дома холодно і дитина важко захворіла через холод.  Тепер двояке враження від магазину. Мабуть більш не замовлятиму тут товар.
                        розгорнути
                        згорнути ",negative
"Я оформила онлайн кредит який був потвержден ще 08.08.2019, 09.08.2019, як з&#39;ясувалося в Альфа банку вже ближче до вечора, що магазин Стилус НЕ потверждает рахунок фактуру і до речі про це чомусь менеджер не знав, посилаючись на банк (хоча в банку мені дали повну іно на мою кредиту). Планшет потрібен був на подарунок, але прочитавши відгуки а в стилусом навіть на цьому ресурсі негативних відгуків майже як і позитивних, і як пізніше я зрозуміла товар &quot;сірий&quot;. Полагодити, обміняти на новий його практично нереально !!! Просто змушена була відмовитися від цього товару, тому що переживаю за свої гроші, які потім банку потрібно буде виплачувати! Перший раз написала відгук, але з таким я стикаюся вперше. Розгорнутим згорнути",negative
"Olympus SP-620UZ Black (V103040BE000) Официальная гарантия! з 13.05.14 знаходиться на ремонті.Термін ремонту - до 28 днів. По закінченню ремонту з Вами зв'яжеться представник нашого сервісного відділу. Для здобуття консультації  Ви можете зателефонувати в наш сервісний відділ за номером (044) 502-84-47.
 Наші менеджери нададуть відповіді на Ваші запитання.
  -це відписали мені з сервісної служби на мій запит від 01,06,2014
Сьогодні 26,06,2014, на мої неодноразові телефонні дзвінки чіткої відповіді про стан ремонту мого фото ніхто ненадав, відповідь завжди одна: на ремонті.Коли попросив надати інформацію на якому СЦ знаходиться і по якому номеру квитанціїї зданий, сказали що такої інформаціїї надати не можуть, але вище мені відповідали: Наші менеджери нададуть відповіді на Ваші запитання. Протягом всього терміну ремонту до мене жодного разу навіть ніхто не передзвонив. Можливо тут працівники Розетки прочитають і нададуть мені вичерпну інформацію, коли я зможу отримати свій товар, або кошти за нього, всі розумні терміни ремонту вже давно скінчились, і як можна комусь рекомендувати даний магазин, якщо таке відношення до клієнтів?
                        розгорнути
                        згорнути ",negative
"придбав даний iphone 6s 64gb. Обіцяли офіційний сертифікований апарат. Повірив. При кур&#39;єрі IMEI не перевіряв. Перевірив будинку. IMEI в базі даних немає і в пакеті ще йде перехідник з американською вилки на європейську. При цьому оператор в колл центрі запевняє, що вся продукція офіційна і сертифікована для України. Тепер потрібно їхати робити повернення, втрачати пів-дня, так як привезти правильний апарат і обміняти відмовилися. Це не просто поганий сервіс, це обман клієнта. Будьте обережні з такими продавцями і обходьте їх стороною. Розгорнутим згорнути",negative
"Категорично не рекомендую данний магазин.
причини:
1. Терміни доставки (гроші надійшли на Стосовно 1 грудня відбулося вже 10 днів, товар так і не відправлений)
2. Служба підтримки - відправляти їм повідомлення марна трата часу вам ніхто не відповість, якщо товар з якоїсь причини не відправляють в обумовлені терміни не чекайте що вам подзвонять скажуть причину назвуть терміни вирішення проблеми, якщо самі додзвонитися в службу підтримки не чекайте вирішення питання вам будуть обіцяти (як мені, обіцяючи кожен день відправлення товару з 5 по 10 грудня)
На жаль у мене немає більше часу щоб поексперементіровать як до же час потрібно цього інтернет магазину на доставку з Броварів до Дніпра.
                        Розгорнутим
                        згорнути",negative
"Замовили на Розетці 17 грудня 2017 року подарунки на Новий рік. П'ять днів замовлення комплектували. 21 грудня 2017 року предали у службу доставки - Нова пошта. 26 грудня 2017 замовлення прийшло недоукомплектоване (не було однієї позиції). Станом на 02 січня 2018 так і не було повністю доставлене. 
29.12.2017 року зверталися до Call-центру Розетки, там повідомили, що будуть з'ясовувати що трапилося з посилкою, і про результати повідомлять. На даний момент жодної інформації від Розетки про стан замовлення  так і не було надано. Представник відділення Нової пошти заявив, що провина за недоукомплектацію лежить на Розетці і вони змушенні по закінченню 5 робочих днів  відправити замовлення назад.
                        розгорнути
                        згорнути ",negative
"Замовив кросівки, оплатив карткою, дочекався дня отримання, але промахнувся з розміром. Керуючись інструкцією на сайті, відправив назад для повернення. Посилку взяли на складі, навіть винесли рішення з приводу повернення коштів. Але, по трьох днях коштів, на жаль, на мою картку так і не надійшло, а зі мною так ніхто і не зв'язався. Писав на підтримку. Навіть два рази. Ігнорують вже другий день.
Така оцінка за сервіс, чекаю повернення, прошу звернути на мене і мою проблему увагу. Всім мир.
                        Розгорнутим
                        згорнути",negative
"Телефон Xiaomi Redmi Note 7 Pro 6 / 128GB був замовлений 28 вересня 2019 року (Замовлення № 318923209) і отримано 04.10.2019 року. Телефон робився на подарунок і так як він не сподобався дружині 06.10.2019 року відповідно до Закону України про захист прав споживачів був зроблений повернення в магазині ROZETKA за адресою м Одеса, вул. Сахарова 1Б. Як повідомив працівник магазину гроші в сумі 5499 грн будуть перераховані на належну мені карту Приватбанку (номер оставлялся в заяві) протягом 10 днів, однак на сьогоднішній день 22.10.2019 року після закінчення 16 календарних днів з дня повернення товару, - ніякої інформації немає, а працівники Розетки на телефонні і інтернет запити не відповідають.
Так само, доставка була проведена фірмою «Міст Експрес», але ніяких документів на суму 754 грн надано не було.
Якщо у кого був досвід, прохання роз'яснити як я можу повернути кошти за телефон і так звані податкові платежі.
PS: після спілкування в чаті, працівник Розетки повідомив, що так звані ""податкові платежі"" в розмірі 754 грн поверненню не підлягають ... питання на підставі якого документа податок не підлягає поверненню так і залишився без відповіді.
Продовжую чекати, а поки по закінченні 16 днів після повернення, ні товару, ні грошей, ні конкретної інформації по поверненню ...
                        Розгорнутим
                        згорнути",negative
"Замовлення забирав маг.Цітрус пров. Костюринский, 2 Харків (10.08.16). З отриманням питань не виникло, все швидко і зручно. Покинувши магазин, було виявлено деяке невідповідність товару, що різко змінило настрій і ставлення до магазину. Був змушений повторно відвідати магазин з цього приводу. Після спілкування з директором Олександром всі питання були вирішені позитивно і з розумінням, за що йому окрема подяка. Це ще раз підтверджує високий рівень і надійність торгової мережі. Рекомендую! Розгорнутим згорнути",positive
